0,4390625 | [TestNr=118; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,01];
0,458125 | [TestNr=119; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,02];
0,45375 | [TestNr=120; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,03];
0,400625 | [TestNr=121; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,04];
0,4171875 | [TestNr=122; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,05];
0,43125 | [TestNr=123; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,06];
0,4065625 | [TestNr=124; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,1];
0,405625 | [TestNr=125; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,2];
0,4603125 | [TestNr=126; FreqBandWidth=7; ValueThreshold=0,2; MaxSquaredError=0,3];
0,4265625 | [TestNr=127; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=1E-05];
0,4265625 | [TestNr=128; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,0001];
0,4265625 | [TestNr=129; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,001];
0,4265625 | [TestNr=130; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,003];
0,4265625 | [TestNr=131; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,006];
0,4390625 | [TestNr=132; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,01];
0,4434375 | [TestNr=133; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,02];
0,4309375 | [TestNr=134; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,03];
0,4165625 | [TestNr=135; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,04];
0,41 | [TestNr=136; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,05];
0,4075 | [TestNr=137; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,06];
0,4075 | [TestNr=138; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,1];
0,3625 | [TestNr=139; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,2];
0,3990625 | [TestNr=140; FreqBandWidth=7; ValueThreshold=0,3; MaxSquaredError=0,3];
0,4265625 | [TestNr=141; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=1E-05];
0,4265625 | [TestNr=142; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,0001];
0,4265625 | [TestNr=143; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,001];
0,4265625 | [TestNr=144; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,003];
0,4265625 | [TestNr=145; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,006];
0,4265625 | [TestNr=146; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,01];
0,4265625 | [TestNr=147; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,02];
0,4265625 | [TestNr=148; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,03];
0,4121875 | [TestNr=149; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,04];
0,4053125 | [TestNr=150; FreqBandWidth=7; ValueThreshold=0,4; MaxSquaredError=0,05];
